2026-03-18T11:46:49.291955 | frame=49 | x=481 y=239 | area=1015
2026-03-18T11:46:49.792395 | frame=49 | x=481 y=239 | area=1015
2026-03-18T11:46:50.315850 | frame=50 | x=478 y=239 | area=4785
2026-03-18T11:46:50.816821 | frame=50 | x=478 y=239 | area=4785
2026-03-18T11:46:51.338661 | frame=51 | x=478 y=239 | area=43482
2026-03-18T11:46:51.839537 | frame=51 | x=478 y=239 | area=43482
2026-03-18T11:46:52.361350 | frame=75 | x=462 y=271 | area=1130
2026-03-18T11:46:52.862846 | frame=75 | x=462 y=271 | area=1130
2026-03-18T11:46:53.384463 | frame=100 | x=460 y=281 | area=972
2026-03-18T11:46:53.885645 | frame=100 | x=460 y=281 | area=972
2026-03-18T11:46:54.410541 | frame=5 | x=457 y=278 | area=854
2026-03-18T11:46:54.911170 | frame=5 | x=457 y=278 | area=854
2026-03-18T11:46:55.434317 | frame=30 | x=458 y=239 | area=807
2026-03-18T11:46:55.934870 | frame=30 | x=458 y=239 | area=807
2026-03-18T11:46:56.456292 | frame=45 | x=460 y=239 | area=1031
2026-03-18T11:46:56.957508 | frame=45 | x=460 y=239 | area=1031
2026-03-18T11:46:57.479079 | frame=46 | x=457 y=239 | area=866
2026-03-18T11:46:57.980100 | frame=46 | x=457 y=239 | area=866
2026-03-18T11:46:58.502284 | frame=47 | x=458 y=266 | area=1015
2026-03-18T11:46:59.003505 | frame=47 | x=458 y=266 | area=1015
2026-03-18T11:46:59.525595 | frame=48 | x=454 y=239 | area=971
2026-03-18T11:47:00.026157 | frame=48 | x=454 y=239 | area=971
2026-03-18T11:47:00.547532 | frame=49 | x=475 y=239 | area=908
2026-03-18T11:47:01.048755 | frame=49 | x=475 y=239 | area=908
2026-03-18T11:47:01.570262 | frame=50 | x=482 y=239 | area=928
2026-03-18T11:47:02.071312 | frame=50 | x=482 y=239 | area=928
2026-03-18T11:47:02.593178 | frame=51 | x=482 y=239 | area=935
2026-03-18T11:47:03.094152 | frame=51 | x=482 y=239 | area=935
2026-03-18T11:47:03.615551 | frame=52 | x=458 y=264 | area=961
2026-03-18T11:47:04.117138 | frame=52 | x=458 y=264 | area=961
2026-03-18T11:47:04.639862 | frame=53 | x=456 y=276 | area=932
2026-03-18T11:47:05.140835 | frame=53 | x=456 y=276 | area=932
2026-03-18T11:47:05.662833 | frame=54 | x=461 y=239 | area=1011
2026-03-18T11:47:06.163666 | frame=54 | x=461 y=239 | area=1011
2026-03-18T11:47:06.685723 | frame=55 | x=457 y=239 | area=1071
2026-03-18T11:47:07.186746 | frame=55 | x=457 y=239 | area=1071
2026-03-18T11:47:07.708918 | frame=56 | x=456 y=239 | area=1050
2026-03-18T11:47:08.210286 | frame=56 | x=456 y=239 | area=1050
2026-03-18T11:47:08.731316 | frame=57 | x=481 y=239 | area=1271
2026-03-18T11:47:09.232294 | frame=57 | x=481 y=239 | area=1271
2026-03-18T11:47:09.754359 | frame=58 | x=459 y=278 | area=1250
2026-03-18T11:47:10.255289 | frame=58 | x=459 y=278 | area=1250
2026-03-18T11:47:10.777046 | frame=59 | x=478 y=248 | area=1255
2026-03-18T11:47:11.278680 | frame=59 | x=478 y=248 | area=1255
2026-03-18T11:47:11.801024 | frame=60 | x=456 y=239 | area=1498
2026-03-18T11:47:12.301901 | frame=60 | x=456 y=239 | area=1498
2026-03-18T11:47:12.823939 | frame=61 | x=457 y=239 | area=1522
2026-03-18T11:47:13.325292 | frame=61 | x=457 y=239 | area=1522
2026-03-18T11:47:13.847255 | frame=62 | x=456 y=239 | area=1560
2026-03-18T11:47:14.348061 | frame=62 | x=456 y=239 | area=1560
2026-03-18T11:47:14.870797 | frame=63 | x=481 y=239 | area=1703
2026-03-18T11:47:15.372120 | frame=63 | x=481 y=239 | area=1703
2026-03-18T11:47:15.893527 | frame=64 | x=459 y=272 | area=1981
2026-03-18T11:47:16.394869 | frame=64 | x=459 y=272 | area=1981
2026-03-18T11:47:16.916552 | frame=65 | x=459 y=272 | area=2156
2026-03-18T11:47:17.417809 | frame=65 | x=459 y=272 | area=2156
2026-03-18T11:47:17.939343 | frame=66 | x=458 y=239 | area=2249
2026-03-18T11:47:18.440161 | frame=66 | x=458 y=239 | area=2249
2026-03-18T11:47:18.961646 | frame=67 | x=480 y=261 | area=2187
2026-03-18T11:47:19.462563 | frame=67 | x=480 y=261 | area=2187
2026-03-18T11:47:19.984132 | frame=68 | x=461 y=269 | area=2339
2026-03-18T11:47:20.484896 | frame=68 | x=461 y=269 | area=2339
2026-03-18T11:47:21.006601 | frame=69 | x=463 y=272 | area=2574
2026-03-18T11:47:21.507838 | frame=69 | x=463 y=272 | area=2574
2026-03-18T11:47:22.029412 | frame=70 | x=485 y=239 | area=2443
2026-03-18T11:47:22.530248 | frame=70 | x=485 y=239 | area=2443
2026-03-18T11:47:23.052798 | frame=71 | x=459 y=279 | area=2415
2026-03-18T11:47:23.554050 | frame=71 | x=459 y=279 | area=2415
2026-03-18T11:47:24.076190 | frame=72 | x=463 y=239 | area=2426
2026-03-18T11:47:24.576823 | frame=72 | x=463 y=239 | area=2426
2026-03-18T11:47:25.098867 | frame=73 | x=460 y=264 | area=2229
2026-03-18T11:47:25.600256 | frame=73 | x=460 y=264 | area=2229
2026-03-18T11:47:26.122131 | frame=74 | x=461 y=239 | area=1896
2026-03-18T11:47:26.622845 | frame=74 | x=461 y=239 | area=1896
2026-03-18T11:47:27.144425 | frame=75 | x=464 y=268 | area=1825
2026-03-18T11:47:27.645677 | frame=75 | x=464 y=268 | area=1825
2026-03-18T11:47:28.167035 | frame=76 | x=459 y=239 | area=1713
2026-03-18T11:47:28.667844 | frame=76 | x=459 y=239 | area=1713
2026-03-18T11:47:29.190359 | frame=77 | x=481 y=240 | area=1407
2026-03-18T11:47:29.691043 | frame=77 | x=481 y=240 | area=1407
2026-03-18T11:47:30.212828 | frame=78 | x=468 y=283 | area=1218
2026-03-18T11:47:30.714114 | frame=78 | x=468 y=283 | area=1218
